Date,Home Team,Away Team,Home Goals,Away Goals,Possession % (Home),Possession % (Away),Shots (Home),Shots (Away),Corners (Home),Corners (Away),Fouls (Home),Fouls (Away),Winner,Year,Home_Points,Away_Points
2015-12-12,Barcelona,AC Milan,3,1,44,52,15,20,7,2,12,15,Home Team,2015,3,0
2022-07-20,Barcelona,Bayern Munich,0,5,52,42,23,19,4,10,13,7,Away Team,2022,0,3
2021-03-08,Manchester City,Bayern Munich,2,5,55,58,18,16,5,9,7,10,Away Team,2021,0,3
2022-12-08,Bayern Munich,Manchester City,5,1,63,40,8,12,2,3,15,8,Home Team,2022,3,0
2016-08-24,Barcelona,Juventus,0,1,41,57,9,12,4,7,11,9,Away Team,2016,0,3
2022-06-07,Barcelona,AC Milan,1,5,41,41,20,21,6,9,11,6,Away Team,2022,0,3
2019-04-17,Bayern Munich,Bayern Munich,0,1,60,43,24,24,9,7,14,7,Away Team,2019,0,3
2020-11-10,Barcelona,Arsenal,5,4,61,51,23,16,3,10,14,12,Home Team,2020,3,0
2023-12-25,Chelsea,Arsenal,1,2,67,40,25,12,2,6,11,10,Away Team,2023,0,3
2015-05-01,Bayern Munich,Manchester City,5,4,67,59,11,11,5,10,7,8,Home Team,2015,3,0
2025-10-24,Juventus,Bayern Munich,2,5,49,53,13,5,9,6,5,5,Away Team,2025,0,3
2021-05-24,AC Milan,Borussia Dortmund,1,1,48,51,15,17,2,4,12,11,Draw,2021,1,1
2021-12-27,Chelsea,Arsenal,3,1,61,51,10,15,10,5,6,8,Home Team,2021,3,0
2016-07-10,Manchester City,Barcelona,1,1,62,58,11,23,6,2,13,12,Draw,2016,1,1
2016-06-06,Manchester City,Chelsea,3,1,60,46,19,9,8,3,11,15,Home Team,2016,3,0
2025-03-30,Chelsea,Juventus,2,5,70,35,22,9,8,5,15,5,Away Team,2025,0,3
2021-04-17,Chelsea,Arsenal,1,2,69,45,16,16,3,2,10,15,Away Team,2021,0,3
2020-10-06,Chelsea,Manchester City,5,0,65,32,23,17,2,9,10,15,Home Team,2020,3,0
2019-03-17,Real Madrid,Juventus,1,4,56,31,11,19,3,8,15,7,Away Team,2019,0,3
2016-04-25,Chelsea,Barcelona,5,2,56,38,18,18,10,4,9,8,Home Team,2016,3,0
2020-03-28,Juventus,Borussia Dortmund,0,5,64,53,22,11,8,3,11,5,Away Team,2020,0,3
2025-01-25,Arsenal,Liverpool,3,2,56,37,21,8,3,3,11,11,Home Team,2025,3,0
2018-01-18,Manchester City,Bayern Munich,1,3,54,40,19,6,2,10,6,8,Away Team,2018,0,3
2021-11-04,Liverpool,Arsenal,3,2,42,31,25,23,9,4,13,5,Home Team,2021,3,0
2025-09-19,Barcelona,Chelsea,2,0,60,45,10,16,8,5,6,7,Home Team,2025,3,0
2019-09-10,Real Madrid,Paris Saint-Germain,1,0,63,56,23,14,9,6,9,5,Home Team,2019,3,0
2025-11-15,Paris Saint-Germain,Paris Saint-Germain,4,0,70,32,6,11,8,8,5,12,Home Team,2025,3,0
2020-07-22,Bayern Munich,Borussia Dortmund,5,4,67,48,14,19,7,9,7,9,Home Team,2020,3,0
2015-02-28,Bayern Munich,Liverpool,3,0,66,51,11,10,9,2,10,5,Home Team,2015,3,0
2024-12-14,Real Madrid,Bayern Munich,5,5,45,31,11,21,10,7,11,11,Draw,2024,1,1
2015-07-25,Real Madrid,AC Milan,5,5,59,49,5,9,4,9,12,10,Draw,2015,1,1
2018-08-15,Juventus,Manchester City,2,4,40,49,16,9,7,3,12,8,Away Team,2018,0,3
2017-09-02,Arsenal,AC Milan,5,1,64,30,18,9,10,8,12,11,Home Team,2017,3,0
2024-08-17,Paris Saint-Germain,Paris Saint-Germain,0,1,54,57,7,15,10,4,5,5,Away Team,2024,0,3
2020-04-03,AC Milan,Juventus,4,4,52,47,19,19,4,6,10,5,Draw,2020,1,1
2024-04-16,Liverpool,Manchester City,2,5,63,50,23,15,4,5,7,13,Away Team,2024,0,3
2019-01-20,Chelsea,Juventus,1,1,59,39,19,17,5,10,5,7,Draw,2019,1,1
2016-05-06,Juventus,Barcelona,2,2,69,39,20,13,9,3,5,8,Draw,2016,1,1
2020-08-24,Manchester City,AC Milan,3,4,59,42,7,23,4,4,12,10,Away Team,2020,0,3
2022-03-16,Real Madrid,Bayern Munich,0,1,64,48,17,16,7,4,7,7,Away Team,2022,0,3
2024-01-22,Barcelona,Manchester City,3,0,68,39,11,8,3,9,10,7,Home Team,2024,3,0
2021-06-13,Barcelona,Borussia Dortmund,0,5,44,30,22,6,8,10,9,6,Away Team,2021,0,3
2025-04-07,Arsenal,Bayern Munich,1,4,54,33,16,10,7,3,7,14,Away Team,2025,0,3
2019-07-07,Chelsea,Arsenal,1,1,65,58,21,5,8,5,10,7,Draw,2019,1,1
2015-04-11,Arsenal,AC Milan,0,1,41,42,21,25,9,8,13,15,Away Team,2015,0,3
2023-04-28,Barcelona,Borussia Dortmund,2,3,67,47,9,13,4,5,13,7,Away Team,2023,0,3
2021-11-17,Liverpool,Arsenal,5,4,42,40,17,21,8,7,11,9,Home Team,2021,3,0
2021-08-20,Real Madrid,AC Milan,5,4,48,60,6,11,9,9,7,7,Home Team,2021,3,0
2020-09-22,Liverpool,Juventus,5,3,61,35,8,20,8,2,6,11,Home Team,2020,3,0
